District,Block,Population,Literacy_Rate,Rural_Percentage,No_of_Schools,Dropout_Rate,Lat,Long
Tirunelveli,Block_1143,329860,90.5,47,127,3.8,11.5666,79.7283
Erode,Block_1144,125007,65.3,32,135,10.2,8.6361,78.4532
Coimbatore,Block_1145,116530,66.5,73,114,13.6,12.6274,77.4345
Tiruvarur,Block_1146,129509,66.8,36,71,13.4,10.2585,80.4014
Virudhunagar,Block_1147,180523,76.7,18,141,3.9,12.3243,76.6175
Madurai,Block_1148,459765,65.4,28,140,10.3,12.8086,78.682
Theni,Block_1149,140941,72.8,34,131,10.3,12.7543,80.0606
Virudhunagar,Block_1150,497102,78.3,21,43,7.0,9.3327,77.5409
Coimbatore,Block_1151,404229,67.4,43,191,10.1,8.2975,79.4385
Tiruppur,Block_1152,445853,70.2,58,183,8.6,11.8288,77.0637
Dindigul,Block_1153,365089,82.0,8,113,9.9,8.2965,78.6927
Tirunelveli,Block_1154,129038,84.1,11,143,4.4,13.0101,76.928
Vellore,Block_1155,323294,89.9,44,166,3.6,8.4937,76.2865
Namakkal,Block_1156,414636,73.8,65,190,6.6,12.0287,78.9025
Vellore,Block_1157,464956,72.6,78,136,5.6,10.144,78.2079
Perambalur,Block_1158,157461,66.8,41,48,14.2,10.2491,77.3309
Karur,Block_1159,468291,84.2,68,162,10.6,11.6904,78.6032
Vellore,Block_1160,420914,87.0,13,61,3.1,8.2772,79.1898
Virudhunagar,Block_1161,277334,78.5,59,57,13.9,8.6157,79.0788
Coimbatore,Block_1162,230643,87.6,55,61,9.0,11.0081,77.334
Tirunelveli,Block_1163,311931,73.7,45,147,4.6,11.1598,76.1092
Cuddalore,Block_1164,79158,81.9,1,161,12.0,11.9498,76.98
Nilgiris,Block_1165,85494,69.4,14,183,11.9,8.0348,76.0565
Salem,Block_1166,385938,79.6,70,55,9.0,10.9223,77.3011
Chennai,Block_1167,356112,73.2,63,29,14.9,8.8352,77.0042
Cuddalore,Block_1168,274482,80.1,21,156,12.1,12.4166,79.3124
Vellore,Block_1169,370050,81.7,69,70,7.2,13.4442,76.1481
Tiruppur,Block_1170,201180,65.9,41,33,5.9,13.4311,78.7024
Nilgiris,Block_1171,216266,69.1,50,188,13.6,8.5625,77.6334
Trichy,Block_1172,438011,87.3,64,29,13.5,8.8349,76.0858
Trichy,Block_1173,404110,92.0,16,74,8.5,9.8383,79.4753
Salem,Block_1174,190888,87.7,60,91,3.4,9.0262,79.6199
Madurai,Block_1175,452216,67.5,58,180,11.6,10.8365,80.4948
Cuddalore,Block_1176,151182,66.1,9,169,13.0,12.3204,80.4559
Dindigul,Block_1177,193555,67.6,5,129,12.0,10.6861,77.9398
Ariyalur,Block_1178,173087,72.8,31,20,4.9,11.9758,79.1294
Thanjavur,Block_1179,388721,69.0,55,163,12.6,9.8079,77.9365
Virudhunagar,Block_1180,391216,85.9,39,196,6.0,11.8066,76.4041
Tirunelveli,Block_1181,71173,88.9,77,75,8.5,11.7016,77.3815
Tiruvallur,Block_1182,400535,89.8,27,193,7.8,11.2601,76.9725
Ariyalur,Block_1183,70186,65.2,8,33,7.3,13.3907,76.6388
Thanjavur,Block_1184,347457,69.5,72,200,13.4,8.3673,78.892
Theni,Block_1185,478427,86.1,80,152,12.5,12.3947,79.5459
Kanchipuram,Block_1186,322807,77.5,8,29,7.9,13.1107,78.8934
Pudukkottai,Block_1187,395879,76.9,76,162,4.5,12.6319,76.7528
Theni,Block_1188,257008,66.1,1,107,10.2,13.4985,77.2044
Nilgiris,Block_1189,203887,78.1,6,163,5.8,10.277,77.4908
Tiruvarur,Block_1190,159748,85.9,68,155,12.9,10.9796,77.5322
Vellore,Block_1191,90142,72.1,55,169,4.6,8.0243,77.9326
Tirunelveli,Block_1192,86592,84.7,46,86,5.4,9.3664,76.1205
Chennai,Block_1193,243686,65.8,76,85,13.5,12.6801,78.0351
Virudhunagar,Block_1194,115770,87.3,52,135,3.8,8.4024,76.6387
Vellore,Block_1195,215424,86.1,12,140,5.7,8.7213,77.1191
Ariyalur,Block_1196,447357,80.0,51,152,4.0,11.4975,78.495
Ramanathapuram,Block_1197,412086,91.3,30,93,6.5,8.4723,77.7831
Tiruvarur,Block_1198,484844,65.1,48,49,13.7,9.2077,76.0755
Tiruppur,Block_1199,199222,88.5,21,158,4.6,9.4343,76.0318
Thanjavur,Block_1200,250540,80.2,75,123,7.8,12.99,78.5918
Perambalur,Block_1201,248086,89.5,28,99,11.1,11.6651,76.881
Tiruppur,Block_1202,372545,77.2,66,123,3.2,8.0568,78.2621
Tirunelveli,Block_1203,288864,84.4,33,67,8.6,11.5695,77.1253
Vellore,Block_1204,480517,76.7,21,180,7.6,11.2504,76.9952
Viluppuram,Block_1205,485678,68.0,51,24,14.9,9.839,77.8529
Thanjavur,Block_1206,308901,76.4,51,128,7.0,12.3902,80.3774
Nilgiris,Block_1207,338509,79.5,49,154,14.6,10.3494,79.9208
Theni,Block_1208,134805,78.8,59,108,14.0,11.0509,77.1476
Karur,Block_1209,408619,84.2,7,157,11.5,11.4306,78.9537
Tiruppur,Block_1210,100236,78.7,72,133,4.6,10.6777,78.1372
Ramanathapuram,Block_1211,185372,66.1,39,61,14.0,10.5476,78.2598
Salem,Block_1212,149626,66.8,43,37,11.0,9.5194,77.9512
Ariyalur,Block_1213,129431,78.0,72,120,6.1,9.5887,78.3507
Tiruvarur,Block_1214,405235,72.3,36,147,14.7,8.7092,77.2171
Virudhunagar,Block_1215,118396,73.2,74,22,14.3,10.6273,80.3654
Perambalur,Block_1216,333120,80.6,27,40,3.4,9.1893,79.7281
Thoothukudi,Block_1217,138019,65.6,34,189,9.9,9.7704,76.8525
Cuddalore,Block_1218,202380,81.3,80,190,9.7,11.0991,76.1008
Trichy,Block_1219,489750,77.4,29,174,10.0,9.2444,78.038
Nagapattinam,Block_1220,240682,71.8,24,99,13.4,8.0439,79.6597
Dindigul,Block_1221,181778,68.0,46,31,8.9,10.9466,76.6772
Madurai,Block_1222,240380,86.6,27,65,12.3,10.4926,76.4258
Namakkal,Block_1223,355397,67.6,25,135,14.0,13.4936,76.6825
Tirunelveli,Block_1224,202362,73.5,51,56,7.1,11.7246,79.8764
Pudukkottai,Block_1225,469152,90.4,17,197,8.3,12.4289,80.1206
Salem,Block_1226,295098,71.6,59,135,5.0,9.965,76.9375
Tiruppur,Block_1227,211050,91.3,74,37,3.7,11.9221,77.221
Perambalur,Block_1228,388218,66.3,34,135,7.1,8.0273,78.3963
Sivagangai,Block_1229,396225,91.1,61,198,5.8,12.3426,78.7525
Dindigul,Block_1230,389178,90.9,45,195,6.8,9.8293,79.1892
Nilgiris,Block_1231,295905,82.2,34,140,8.3,11.3698,76.5177
Thanjavur,Block_1232,269379,82.6,77,55,12.7,10.5878,78.5546
Erode,Block_1233,300091,89.0,71,136,5.7,9.218,76.5644
Viluppuram,Block_1234,104886,84.2,70,193,12.5,9.1596,76.5493
Tiruppur,Block_1235,131430,70.9,46,65,5.9,9.3598,79.6352
Ariyalur,Block_1236,251070,83.3,29,22,10.5,11.0155,76.6803
Namakkal,Block_1237,428078,71.8,39,169,13.5,8.5162,80.4234
Coimbatore,Block_1238,333133,70.4,21,96,3.9,10.6848,77.3233
Nagapattinam,Block_1239,392750,67.8,76,126,7.3,10.0847,78.13
Vellore,Block_1240,429519,79.8,46,80,5.4,9.6164,76.3335
Salem,Block_1241,166556,75.7,14,151,5.4,11.2012,78.1883
Ariyalur,Block_1242,425514,77.8,61,178,9.3,11.6358,76.3847
Thanjavur,Block_1243,233886,73.9,79,49,9.0,10.784,79.9606
Pudukkottai,Block_1244,71171,87.0,34,141,11.1,8.1224,78.2103
Nilgiris,Block_1245,471053,87.3,78,112,10.7,9.2049,77.2044
Tiruvallur,Block_1246,324567,68.4,50,60,5.0,11.7819,77.6487
Kanchipuram,Block_1247,185157,66.5,18,183,11.2,11.1461,78.2101
Salem,Block_1248,141483,91.4,51,27,3.0,10.2631,78.6809
Chennai,Block_1249,172026,78.9,52,98,8.7,10.2007,77.1649
Nilgiris,Block_1250,118767,67.3,17,147,14.2,8.0273,80.0472
Namakkal,Block_1251,390621,76.3,38,129,12.7,11.411,77.5292
Cuddalore,Block_1252,172952,78.4,78,37,7.7,9.6364,79.1901
Ariyalur,Block_1253,240812,81.9,66,81,11.5,8.8185,78.5548
Trichy,Block_1254,334025,78.9,1,78,14.0,9.8772,79.4439
Theni,Block_1255,147680,75.7,73,187,14.7,11.8458,78.827
Kanchipuram,Block_1256,108751,67.3,12,57,4.7,8.4337,79.562
Ariyalur,Block_1257,470548,68.9,76,134,8.7,9.9012,77.5508
Cuddalore,Block_1258,497878,66.1,62,183,4.1,10.978,79.4841
Thanjavur,Block_1259,291559,85.0,20,21,9.6,10.3314,78.9933
Sivagangai,Block_1260,231093,77.6,29,60,5.9,9.8543,77.7405
Trichy,Block_1261,479327,68.8,68,100,12.4,9.2689,80.2835
Kanchipuram,Block_1262,179032,87.2,77,178,9.7,11.5702,80.2722
Tiruppur,Block_1263,350061,91.8,36,143,7.4,8.5508,80.0534
Trichy,Block_1264,481722,85.0,26,40,14.5,9.437,77.649
Kanchipuram,Block_1265,432248,77.4,62,168,14.1,11.3195,77.4342
Thoothukudi,Block_1266,168068,78.7,60,55,10.3,10.4257,76.6144
Madurai,Block_1267,131989,90.5,66,168,3.5,12.6235,80.1966
Theni,Block_1268,64140,77.6,33,45,14.2,10.9424,77.8811
Cuddalore,Block_1269,137879,66.2,54,40,11.0,10.9699,76.5348
Ramanathapuram,Block_1270,328920,89.1,80,151,4.6,12.3482,77.8279
Coimbatore,Block_1271,364687,89.1,36,44,3.3,11.5131,80.2427
Coimbatore,Block_1272,350689,85.4,50,130,7.1,11.9813,77.4654
Kanchipuram,Block_1273,97960,65.1,19,154,4.8,8.958,76.9134
Salem,Block_1274,251277,75.1,5,163,11.6,11.3182,78.6273
Trichy,Block_1275,495664,77.3,29,192,4.0,8.9836,77.2605
Trichy,Block_1276,293920,69.3,64,197,13.3,10.8789,79.3647
Madurai,Block_1277,466192,89.0,27,159,13.9,9.5829,79.8736
Trichy,Block_1278,145593,90.0,61,184,14.4,10.5061,77.6802
Tirunelveli,Block_1279,225904,67.6,58,85,11.5,10.508,77.2345
Perambalur,Block_1280,175456,68.9,14,97,4.8,10.6968,78.1458
Namakkal,Block_1281,469802,71.8,41,109,4.6,10.3431,79.577
Chennai,Block_1282,265979,91.6,6,20,15.0,11.6601,79.0368
Perambalur,Block_1283,275799,89.5,59,115,13.1,10.9406,76.8885
Erode,Block_1284,83640,83.7,43,53,4.6,11.5941,79.0128
Thoothukudi,Block_1285,134050,80.1,55,145,3.4,11.5373,78.5101
Thanjavur,Block_1286,59483,75.9,10,54,14.5,10.3586,77.6639
Tiruvallur,Block_1287,366144,71.3,36,177,12.6,12.3446,79.8057
Erode,Block_1288,53071,82.3,3,78,12.5,9.575,79.0781
Tiruvallur,Block_1289,280473,79.1,27,139,12.9,11.6972,78.1719
Salem,Block_1290,108275,88.0,26,79,4.6,8.7671,78.2647
Chennai,Block_1291,230372,88.4,8,150,5.1,12.3744,78.8172
Karur,Block_1292,172344,78.2,49,94,7.1,11.8749,77.9879
Vellore,Block_1293,336587,74.0,60,197,9.2,8.1141,79.3404
Sivagangai,Block_1294,337023,70.6,58,32,11.1,8.6308,79.7441
Karur,Block_1295,377370,91.2,19,32,14.4,9.8473,80.2821
Tirunelveli,Block_1296,459655,73.2,49,133,8.4,11.6423,76.7288
Theni,Block_1297,236437,80.7,19,83,11.1,10.01,79.2416
Ramanathapuram,Block_1298,428666,68.9,37,149,10.1,11.7035,80.4057
Vellore,Block_1299,52588,84.2,51,138,4.7,10.5852,76.2087
Thanjavur,Block_1300,300815,88.3,38,166,5.7,13.173,79.1406
Cuddalore,Block_1301,218985,86.6,42,196,13.3,8.4445,78.1634
Coimbatore,Block_1302,115744,72.5,66,123,3.8,10.1788,77.6006
Chennai,Block_1303,146835,65.7,52,63,9.5,10.8563,76.1405
Erode,Block_1304,239483,71.7,31,30,5.5,11.0296,79.1312
Trichy,Block_1305,275501,69.3,22,178,8.2,13.1005,79.6137
Thoothukudi,Block_1306,177785,79.3,76,59,14.6,9.5736,80.4763
Thanjavur,Block_1307,207083,89.5,66,138,4.2,9.5982,80.4768
Kanchipuram,Block_1308,75557,82.0,34,197,11.8,9.4902,77.7261
Pudukkottai,Block_1309,204687,86.5,9,115,8.8,11.2617,77.4311
Kanchipuram,Block_1310,375019,65.9,23,123,9.2,11.2087,79.6073
Perambalur,Block_1311,231867,70.9,79,151,10.1,9.5173,76.3901
Tiruvallur,Block_1312,240275,77.3,56,178,9.4,12.0785,79.1184
Perambalur,Block_1313,234714,76.7,37,69,12.2,9.5799,76.7781
Tiruppur,Block_1314,170080,87.6,6,45,14.7,11.0888,80.3892
Pudukkottai,Block_1315,481722,71.8,15,100,8.0,9.6068,78.3835
Pudukkottai,Block_1316,128401,76.9,73,62,10.6,8.8046,79.1609
Vellore,Block_1317,405578,80.7,6,51,9.2,10.3206,80.4612
Sivagangai,Block_1318,438183,90.2,70,44,6.6,8.5136,79.4206
Perambalur,Block_1319,219332,84.7,40,140,14.6,12.4265,78.3478
Tirunelveli,Block_1320,167510,71.6,10,63,4.2,13.1715,77.6132
Krishnagiri,Block_1321,139871,75.6,68,31,3.3,8.9182,80.0218
Vellore,Block_1322,207608,81.3,48,125,7.0,9.6781,79.7922
Krishnagiri,Block_1323,223533,77.5,39,79,7.1,12.2085,76.002
Trichy,Block_1324,189491,69.5,15,85,10.3,11.7107,76.5396
Trichy,Block_1325,350117,87.6,61,71,9.7,13.4357,78.6306
Theni,Block_1326,148780,89.1,2,150,14.4,12.9465,79.4805
Karur,Block_1327,237405,77.0,15,126,14.4,8.3908,80.0288
Karur,Block_1328,81874,80.7,31,112,3.2,12.7091,80.0293
Thanjavur,Block_1329,241712,84.1,63,101,14.8,8.1266,80.3856
Namakkal,Block_1330,308794,67.7,55,64,5.6,12.1744,80.4568
Karur,Block_1331,227020,81.7,30,23,14.9,9.0211,76.0931
Thoothukudi,Block_1332,458075,72.2,28,81,8.0,8.4572,76.363
Vellore,Block_1333,479528,73.0,80,29,4.0,12.2835,77.0196
Nilgiris,Block_1334,363000,69.1,2,74,13.1,9.6155,77.2602
Chennai,Block_1335,244011,91.2,15,184,10.3,11.5044,79.683
Ramanathapuram,Block_1336,300680,77.6,77,35,12.1,10.9072,79.5047
Tirunelveli,Block_1337,167508,85.4,57,66,14.0,8.7668,78.3352
Erode,Block_1338,368490,83.3,4,177,8.7,10.8204,76.8054
Sivagangai,Block_1339,189606,74.4,68,114,13.3,9.9976,77.0214
Perambalur,Block_1340,387310,66.7,78,145,13.3,10.6603,79.0274
Coimbatore,Block_1341,198129,80.0,28,189,6.3,12.2372,78.2763
Chennai,Block_1342,295549,80.2,80,28,10.3,8.5733,79.5782
Tiruvarur,Block_1343,405341,84.7,40,141,10.8,12.4736,76.8977
Ariyalur,Block_1344,294917,71.9,80,105,9.1,8.6204,79.024
Thanjavur,Block_1345,319798,81.4,67,59,10.3,12.8711,77.5096
Ramanathapuram,Block_1346,360327,66.2,26,114,8.8,10.1749,76.6829
Chennai,Block_1347,323547,71.7,40,156,6.3,12.0963,79.6015
Nilgiris,Block_1348,93716,84.4,36,189,10.0,11.9462,78.5023
Tirunelveli,Block_1349,340646,79.9,59,128,9.5,8.6608,78.1518
Kanchipuram,Block_1350,101259,88.7,1,40,4.3,10.037,79.4473
Tiruvarur,Block_1351,100455,65.1,20,142,9.7,9.0846,79.0532
Tirunelveli,Block_1352,181176,71.0,76,102,7.2,12.0082,79.0962
Tiruvallur,Block_1353,273279,70.5,5,22,9.0,9.2317,77.555
Ariyalur,Block_1354,460535,84.8,26,93,14.4,12.0623,79.3782
Tiruvarur,Block_1355,212403,71.0,33,54,10.6,12.8815,78.8349
Nagapattinam,Block_1356,261609,86.8,28,26,6.6,12.1322,77.919
Kanchipuram,Block_1357,379195,67.4,17,52,4.3,9.2415,76.5008
Tiruvallur,Block_1358,88066,87.4,56,104,4.1,12.3575,77.3395
Tiruvarur,Block_1359,59544,78.6,75,125,10.7,8.131,79.8641
Tiruvarur,Block_1360,316613,90.7,61,54,11.2,11.3343,79.4548
Coimbatore,Block_1361,134142,90.0,3,145,3.2,8.1125,76.7449
Nilgiris,Block_1362,267354,90.4,37,137,5.1,12.5967,79.7802
Vellore,Block_1363,56782,83.5,19,195,6.6,9.3633,80.0487
Krishnagiri,Block_1364,492169,77.2,9,59,7.3,13.3562,76.4364
Nagapattinam,Block_1365,390587,65.7,48,68,7.4,9.0605,78.5359
Tiruppur,Block_1366,60809,74.7,65,59,12.8,9.9698,77.114
Virudhunagar,Block_1367,93231,76.6,40,83,9.0,12.7222,77.3844
Virudhunagar,Block_1368,230566,68.6,31,125,6.5,9.9545,76.9893
Perambalur,Block_1369,311709,89.9,32,165,3.3,11.5178,76.571
Tiruvallur,Block_1370,312648,73.8,38,110,7.8,8.2267,76.6537
Viluppuram,Block_1371,252916,80.7,68,124,7.2,8.5988,77.5366
Tiruvarur,Block_1372,163112,90.3,0,178,10.7,10.6238,80.2946
Kanchipuram,Block_1373,354380,84.2,32,104,9.6,9.5982,79.6504
Ariyalur,Block_1374,243982,70.8,57,115,4.6,10.3649,78.6116
Coimbatore,Block_1375,224807,86.3,17,168,6.7,9.7407,79.712
Nilgiris,Block_1376,493075,91.1,73,135,3.7,11.2173,77.7221
Pudukkottai,Block_1377,86013,78.7,7,69,7.0,10.2979,76.0691
Theni,Block_1378,53354,68.2,52,174,5.7,10.1139,79.4999
Virudhunagar,Block_1379,139861,79.0,69,85,12.3,10.998,76.7613
Sivagangai,Block_1380,266633,84.4,80,79,14.0,8.9323,77.4133
Nilgiris,Block_1381,268260,66.7,11,68,14.0,10.9807,76.5549
Tiruvallur,Block_1382,424864,84.3,15,112,6.9,11.7507,79.0481
Trichy,Block_1383,310292,74.6,11,156,8.9,10.7563,79.2939
Salem,Block_1384,285832,91.8,66,100,3.5,13.2843,80.2784
Salem,Block_1385,227072,89.0,33,179,10.3,11.4819,80.21
Coimbatore,Block_1386,296896,84.7,22,39,8.5,10.9559,77.2482
Tiruppur,Block_1387,241581,71.8,61,35,12.4,8.3863,78.0793
Nagapattinam,Block_1388,439951,90.1,53,65,8.4,13.087,77.1683
Tiruvarur,Block_1389,185186,73.3,5,153,6.3,9.827,76.7579
Coimbatore,Block_1390,470443,84.9,23,45,11.0,8.0082,78.5095
Virudhunagar,Block_1391,103121,68.3,61,73,3.9,8.5906,77.3397
Theni,Block_1392,160638,67.8,5,174,14.5,9.931,80.4028
Pudukkottai,Block_1393,365088,76.1,47,108,5.9,8.4228,76.0379
Theni,Block_1394,251702,90.3,14,62,8.1,9.2405,76.8204
Erode,Block_1395,374382,72.2,39,104,10.8,12.5074,80.3927
Nagapattinam,Block_1396,326581,83.0,21,121,3.3,9.2362,77.4378
Theni,Block_1397,423679,86.0,0,166,6.1,8.2254,76.083
Trichy,Block_1398,263713,74.6,64,146,14.7,9.6612,78.872
Erode,Block_1399,243105,71.9,54,124,8.8,8.7991,79.7961
Theni,Block_1400,345810,89.5,11,149,3.2,9.9453,77.1852
Ramanathapuram,Block_1401,248271,81.2,75,29,11.5,9.2377,77.9448
Tiruvarur,Block_1402,497271,80.5,6,70,11.4,9.5226,78.6534
Pudukkottai,Block_1403,67970,72.3,53,29,12.6,9.6397,76.0783
Thanjavur,Block_1404,306119,69.3,3,154,10.2,11.2495,79.0847
Perambalur,Block_1405,379923,71.3,38,133,8.7,9.1904,76.5353
Krishnagiri,Block_1406,306623,67.0,71,120,7.6,11.8789,79.3637
Cuddalore,Block_1407,349949,87.8,7,159,9.6,12.6486,79.1601
Salem,Block_1408,137335,72.1,45,120,6.8,9.9867,78.864
Tiruvarur,Block_1409,217279,80.3,40,64,6.0,11.1177,79.5196
Tirunelveli,Block_1410,324449,79.7,16,33,14.5,9.8573,76.2058
Tiruppur,Block_1411,156880,85.7,74,32,3.7,10.5818,79.8077
Sivagangai,Block_1412,99772,91.8,44,52,11.3,10.552,79.5729
Nagapattinam,Block_1413,212566,87.5,38,48,9.6,9.4302,79.6839
Coimbatore,Block_1414,221881,70.3,3,186,4.3,11.8202,77.2654
Perambalur,Block_1415,394511,80.4,21,64,5.3,8.9036,76.8143
Thanjavur,Block_1416,182813,75.1,16,38,12.2,10.4202,78.1847
Vellore,Block_1417,115051,77.2,58,75,12.3,10.4016,78.4164
Karur,Block_1418,424683,82.9,17,128,7.1,12.325,76.4839
Tirunelveli,Block_1419,311873,83.4,4,151,11.5,13.439,76.8577
Tiruppur,Block_1420,220962,85.4,3,128,5.4,12.741,77.2203
Nilgiris,Block_1421,218878,66.0,49,86,11.1,10.0791,79.3623
Ramanathapuram,Block_1422,304005,87.8,35,64,5.8,12.1515,76.4082
Vellore,Block_1423,467201,91.4,13,155,14.3,12.3582,78.9866
Trichy,Block_1424,259109,87.0,74,73,12.9,10.7354,76.5084
Dindigul,Block_1425,329943,90.4,22,158,4.5,8.605,78.2139
Madurai,Block_1426,93553,79.4,61,121,13.3,12.2874,78.5974
Namakkal,Block_1427,275221,74.1,17,164,3.1,8.007,80.3956
Kanchipuram,Block_1428,431664,68.4,55,171,4.4,8.5212,77.1691
Nagapattinam,Block_1429,486013,66.0,79,22,14.3,10.0876,78.5388
Tiruvallur,Block_1430,81504,76.6,77,102,9.5,13.2179,79.0491
Tiruvarur,Block_1431,203476,77.9,36,63,5.7,9.1165,76.2705
Tiruppur,Block_1432,184104,85.9,58,119,14.9,12.022,78.1093
Ramanathapuram,Block_1433,288719,74.6,74,105,14.0,12.8142,78.2969
Trichy,Block_1434,244707,90.6,11,146,12.6,12.3363,76.6319
Tiruvarur,Block_1435,104850,82.6,42,34,6.8,10.8142,79.8146
Viluppuram,Block_1436,202282,67.5,8,188,10.0,9.1418,77.877
Tiruvarur,Block_1437,456891,70.1,20,28,6.5,8.9483,79.7493
Tiruvarur,Block_1438,343436,88.6,34,95,3.8,11.8731,76.7206
Sivagangai,Block_1439,130219,77.5,67,22,12.8,9.5073,77.9683
Coimbatore,Block_1440,415441,77.2,77,136,11.9,10.0166,79.4314
Nagapattinam,Block_1441,198602,85.7,68,130,14.4,13.118,79.4676
Nilgiris,Block_1442,171498,65.2,65,106,10.3,8.4955,76.13
Thoothukudi,Block_1443,84714,79.6,1,161,11.3,10.8512,76.6314
Ramanathapuram,Block_1444,305061,65.5,58,24,13.4,8.6341,76.762
Sivagangai,Block_1445,478823,76.6,3,111,9.0,12.5328,76.4007
Kanchipuram,Block_1446,388925,69.0,21,137,11.3,12.2142,76.6721
Perambalur,Block_1447,408118,69.7,11,56,14.4,9.4825,80.2672
Viluppuram,Block_1448,241366,84.0,3,91,3.8,12.5506,78.6034
Erode,Block_1449,410875,77.6,63,149,14.7,9.9822,77.2764
Thoothukudi,Block_1450,86166,75.4,9,199,14.0,13.328,80.1309
Tiruvallur,Block_1451,116890,75.4,21,177,7.2,8.6475,79.0357
Nagapattinam,Block_1452,211183,74.4,60,87,7.6,10.4778,77.6131
Krishnagiri,Block_1453,336794,90.2,18,153,8.0,8.5692,78.4388
Nagapattinam,Block_1454,101015,78.7,18,93,7.3,8.0758,77.6104
Erode,Block_1455,55743,82.0,12,113,12.8,8.8687,78.6021
Vellore,Block_1456,304555,89.5,17,76,3.1,8.8216,76.8279
Tirunelveli,Block_1457,268411,76.5,50,180,3.6,12.3224,76.4389
Namakkal,Block_1458,352477,70.0,21,147,10.2,11.0341,76.6459
Erode,Block_1459,202093,78.4,79,184,8.2,8.2952,78.4791
Chennai,Block_1460,68061,71.5,9,36,4.1,11.9272,78.9373
Karur,Block_1461,435388,84.0,39,197,12.2,12.5863,77.6738
Thoothukudi,Block_1462,301110,90.3,68,142,11.3,12.4697,78.2648
Vellore,Block_1463,310257,75.5,48,83,5.8,12.4428,77.3775
Virudhunagar,Block_1464,343234,72.5,80,90,7.7,10.8588,78.8046
Theni,Block_1465,87586,70.7,12,83,3.0,12.9329,77.0749
Sivagangai,Block_1466,243786,87.0,11,169,11.7,12.8269,76.8751
Salem,Block_1467,237396,88.7,48,62,10.2,12.5228,76.786
Salem,Block_1468,329496,67.6,0,171,12.1,11.8054,79.1814
Nagapattinam,Block_1469,301111,70.9,13,91,9.8,10.5671,77.1515
Nilgiris,Block_1470,163775,88.5,75,50,3.3,9.8301,76.7338
Namakkal,Block_1471,393942,83.0,8,37,13.2,10.3559,78.1544
Coimbatore,Block_1472,450995,69.6,69,120,4.5,8.7949,80.3458
Namakkal,Block_1473,256203,69.8,51,141,11.2,9.9595,80.0245
Theni,Block_1474,201324,67.8,80,57,7.1,12.1368,76.4622
Nilgiris,Block_1475,274085,72.1,39,105,14.9,9.7519,78.7163
Namakkal,Block_1476,119514,83.0,32,57,8.5,13.2891,80.0096
Perambalur,Block_1477,266713,66.3,78,111,7.0,13.1379,79.2369
Coimbatore,Block_1478,237718,79.2,79,46,4.2,9.9571,79.3573
Thanjavur,Block_1479,171839,82.6,68,31,13.2,8.8767,76.1324
Perambalur,Block_1480,149500,86.5,5,199,14.8,8.338,79.7502
Sivagangai,Block_1481,326528,71.7,30,177,7.5,10.1098,77.3528
Coimbatore,Block_1482,84171,65.9,5,122,14.1,8.6912,76.0807
Ramanathapuram,Block_1483,128291,68.4,39,162,4.7,8.7262,76.9169
Perambalur,Block_1484,414460,71.7,21,48,10.5,10.8382,76.1082
Salem,Block_1485,90746,80.2,46,144,9.0,8.6151,77.359
Virudhunagar,Block_1486,340696,71.3,45,109,4.2,9.5164,78.8041
Ramanathapuram,Block_1487,115651,71.1,48,46,12.3,11.4783,79.548
Sivagangai,Block_1488,220842,65.3,63,35,12.6,13.4078,76.8669
Salem,Block_1489,154977,80.0,6,105,9.7,9.9996,80.0422
Sivagangai,Block_1490,492991,88.1,1,155,3.5,10.7569,79.9789
Madurai,Block_1491,311474,91.1,74,129,14.2,11.7118,77.5029
Karur,Block_1492,457394,86.9,48,131,4.1,8.5666,77.2113
Chennai,Block_1493,52634,66.1,37,52,9.4,10.0554,76.2746
Vellore,Block_1494,403900,86.8,75,142,13.7,8.3855,77.6732
Dindigul,Block_1495,234440,80.4,47,175,6.8,11.5018,80.002
Nagapattinam,Block_1496,349314,89.8,19,71,14.9,11.7526,77.6948
Sivagangai,Block_1497,464951,72.0,43,176,10.9,10.9537,76.7742
Sivagangai,Block_1498,88214,89.0,0,181,3.1,8.2063,77.1561
Pudukkottai,Block_1499,403117,67.3,22,93,8.2,12.1576,78.0461
Tiruppur,Block_1500,155285,72.7,47,27,11.3,9.5567,77.1777
Theni,Block_1501,245970,83.7,45,70,12.4,11.3085,78.7543
Coimbatore,Block_1502,295300,71.0,23,111,5.8,10.1936,80.2363
Nilgiris,Block_1503,60039,78.5,45,166,11.1,9.9319,76.0725
Tiruppur,Block_1504,336136,72.4,53,121,5.4,8.0753,76.5692
Thoothukudi,Block_1505,106508,82.4,67,128,10.7,9.6437,78.3853
Chennai,Block_1506,168648,86.0,63,152,5.8,11.4229,79.0372
Krishnagiri,Block_1507,442474,77.0,73,183,6.4,8.3408,78.1617
Virudhunagar,Block_1508,412182,82.3,2,72,6.7,8.0577,79.2885
Karur,Block_1509,446139,68.2,26,50,7.8,8.3312,78.5615
Tiruvallur,Block_1510,257049,86.7,15,199,11.5,10.432,78.1418
Perambalur,Block_1511,202450,70.4,18,54,9.1,12.1179,77.483
Ariyalur,Block_1512,191046,77.3,24,142,13.8,10.0907,78.0855
Coimbatore,Block_1513,64961,76.3,40,139,4.4,10.7568,79.887
Tiruvallur,Block_1514,213686,81.5,34,77,11.8,11.6863,78.5469
Dindigul,Block_1515,131021,65.4,12,108,7.9,11.8781,77.8541
